File: data/data_1.txt, Total Cost: 696.0, Elapsed Time: 0.0020 seconds
File: data/data_2.txt, Total Cost: 669.0, Elapsed Time: 0.0010 seconds
File: data/data_3.txt, Total Cost: 1484.0, Elapsed Time: 0.0016 seconds
File: data/data_4.txt, Total Cost: 789.0, Elapsed Time: 0.0021 seconds
File: data/data_5.txt, Total Cost: 1127.0, Elapsed Time: 0.0070 seconds
File: data/data_6.txt, Total Cost: 925.0, Elapsed Time: 0.0010 seconds
File: data/data_7.txt, Total Cost: 1399.0, Elapsed Time: 0.0020 seconds
File: data/data_8.txt, Total Cost: 1501.0, Elapsed Time: 0.0049 seconds
File: data/data_9.txt, Total Cost: 1784.0, Elapsed Time: 0.0020 seconds
File: data/data_10.txt, Total Cost: 1582.0, Elapsed Time: 0.0020 seconds
File: data/data_11.txt, Total Cost: 1766.0, Elapsed Time: 0.0030 seconds
File: data/data_12.txt, Total Cost: 1844.0, Elapsed Time: 0.0040 seconds
File: data/data_13.txt, Total Cost: 1727.0, Elapsed Time: 0.0064 seconds
File: data/data_14.txt, Total Cost: 2418.0, Elapsed Time: 0.0040 seconds
File: data/data_15.txt, Total Cost: 2235.0, Elapsed Time: 0.4789 seconds
File: data/data_16.txt, Total Cost: 2823.0, Elapsed Time: 0.2583 seconds
File: data/data_17.txt, Total Cost: 4305.0, Elapsed Time: 0.0020 seconds
File: data/data_18.txt, Total Cost: 1507.0, Elapsed Time: 0.4523 seconds
File: data/data_19.txt, Total Cost: 3227.0, Elapsed Time: 0.8278 seconds
File: data/data_20.txt, Total Cost: 6666.0, Elapsed Time: 0.7087 seconds
